{}																																																
Co./Last Name	First Name	Addr 1 - Line 1	Addr 1 - Line 2	Addr 1 - Line 3	Addr 1 - Line 4	Inclusive	Invoice No.	Date	Customer PO	Ship Via	Delivery Status	Item Number	Quantity	Description	Price	Discount	Total	Job	Comment	Journal Memo	Salesperson Last Name	Salesperson First Name	Shipping Date	Referral Source	Tax Code	Tax Amount	Freight Amount	Freight Tax Code	Freight Tax Amount	Sale Status	Terms - Payment is Due	           - Discount Days	           - Balance Due Days	           - % Discount	           - % Monthly Charge	Amount Paid	Payment Method	Payment Notes	Name on Card	Card Number	Authorisation Code	BSB	Account Number	Drawer/Account Name	Cheque Number	Category	Card ID	Record ID
South East Asia Beauty/Sunshine Plaza QLD		South East Asia Beauty/Sunshine Plaza QLD	Attention: Biel Bell	Shopping Village 123	888 Beauty Parade	X	00033151	16/3/2024	Biel Bell	Star Track Express	A	HSSAQHS	8	Aqium Hand Sanitizer 375 ml	$6.78 	0%	$54.25 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Sunshine Plaza QLD					GST	$5.43 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	4383
South East Asia Beauty/Sunshine Plaza QLD		South East Asia Beauty/Sunshine Plaza QLD	Attention: Biel Bell	Shopping Village 123	888 Beauty Parade	X	00033151	16/3/2024	Biel Bell	Star Track Express	A	DTICU90	42	"Cube Tissue 2ply, 90/pk"	$1.69 	0%	$71.02 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Sunshine Plaza QLD					GST	$7.10 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	4383
																																																
South East Asia Beauty/Warringah/NSW		South East Asia Beauty/Warringah/NSW	Attn: Phillipa Louise	Shopping Village 123	888 Beauty Parade	X	00033152	16/3/2024	Phillipa Louise	Fastway Sydney Metro	A	DMWLA96	2	Latex Make-up Wedges (96/pack)	$28.64 	0%	$57.27 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Warringah/NSW					GST	$5.73 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3706
South East Asia Beauty/Warringah/NSW		South East Asia Beauty/Warringah/NSW	Attn: Phillipa Louise	Shopping Village 123	888 Beauty Parade	X	00033152	16/3/2024	Phillipa Louise	Fastway Sydney Metro	A	DMALG50B	2	Lip Gloss Wands Bamboo Handle	$12.46 	0%	$24.91 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Warringah/NSW					GST	$2.49 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3706
South East Asia Beauty/Warringah/NSW		South East Asia Beauty/Warringah/NSW	Attn: Phillipa Louise	Shopping Village 123	888 Beauty Parade	X	00033152	16/3/2024	Phillipa Louise	Fastway Sydney Metro	A	DTWBL50	1	Disposable Towel Black 50pk	$34.43 	0%	$34.43 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Warringah/NSW					GST	$3.44 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3706
South East Asia Beauty/Warringah/NSW		South East Asia Beauty/Warringah/NSW	Attn: Phillipa Louise	Shopping Village 123	888 Beauty Parade	X	00033152	16/3/2024	Phillipa Louise	Fastway Sydney Metro	A	DMAMWB	1	Dis Mascara Wands Bamboo 100pk	$21.56 	0%	$21.56 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Warringah/NSW					GST	$2.16 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3706
																																																
South East Asia Beauty/Bondi Junction NSW		South East Asia Beauty/Bondi Junction NSW	Attn: Lauren Budrovic-Liversidge	Shopping Village 123	888 Beauty Parade	X	00033154	18/3/2024	MANAGEMENT	Fastway Sydney Metro	A	HSSAQHS	6	Aqium Hand Sanitizer 375 ml	$6.78 	0%	$40.69 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Bondi Junction NSW					GST	$4.07 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	4077
South East Asia Beauty/Bondi Junction NSW		South East Asia Beauty/Bondi Junction NSW	Attn: Lauren Budrovic-Liversidge	Shopping Village 123	888 Beauty Parade	X	00033154	18/3/2024	MANAGEMENT	Fastway Sydney Metro	A	DCTBA200	30	Cotton Tips Bamboo Stick 200pk	$3.18 	0%	$95.46 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Bondi Junction NSW					GST	$9.54 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	4077
South East Asia Beauty/Bondi Junction NSW		South East Asia Beauty/Bondi Junction NSW	Attn: Lauren Budrovic-Liversidge	Shopping Village 123	888 Beauty Parade	X	00033154	18/3/2024	MANAGEMENT	Fastway Sydney Metro	A	FHC	1	Standard Freight & Handling	$24.97 	0%	$24.97 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Bondi Junction NSW					GST	$2.50 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	4077
																																																
South East Asia Beauty/Sunshine Plaza QLD		South East Asia Beauty/Sunshine Plaza QLD	Attention: Biel Bell	Shopping Village 123	888 Beauty Parade	X	00033151	16/3/2024	Biel Bell	Star Track Express	A	FHC	1	Standard Freight & Handling	$63.28 	0%	$63.28 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Sunshine Plaza QLD					GST	$6.33 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	4383
																																																
South East Asia Beauty/Warringah/NSW		South East Asia Beauty/Warringah/NSW	Attn: Phillipa Louise	Shopping Village 123	888 Beauty Parade	X	00033152	16/3/2024	Phillipa Louise	Fastway Sydney Metro	A	FHC	1	Standard Freight & Handling	$21.29 	0%	$21.29 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Warringah/NSW					GST	$2.13 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3706
																																																
South East Asia Beauty/Chadstone VIC		South East Asia Beauty/Chadstone VIC	Attn: Terra Sien	Shopping Village 123	888 Beauty Parade	X	00033157	18/3/2024	MANAGEMENT	Star Track Express	A	DMAMWB	1	Dis Mascara Wands Bamboo 100pk	$21.56 	0%	$21.56 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Chadstone VIC					GST	$2.16 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3701
South East Asia Beauty/Chadstone VIC		South East Asia Beauty/Chadstone VIC	Attn: Terra Sien	Shopping Village 123	888 Beauty Parade	X	00033157	18/3/2024	MANAGEMENT	Star Track Express	A	EMRAR2	4	"Eye Make up Remover 250ml, currently out of stock, will supply this once the stock arrives"	$10.31 	0%	$41.24 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Chadstone VIC					GST	$4.12 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3701
South East Asia Beauty/Chadstone VIC		South East Asia Beauty/Chadstone VIC	Attn: Terra Sien	Shopping Village 123	888 Beauty Parade	X	00033157	18/3/2024	MANAGEMENT	Star Track Express	A	DCTBA200	4	Cotton Tips Bamboo Stick 200pk	$3.18 	0%	$12.72 		30 Days from Date of Invoice	Sale; South East Asia Beauty/Chadstone VIC					GST	$1.28 	$0.00 	GST	$0.00 	O	2	0	30	0	0	$0.00 											*None	3701
